"","X.1","X","game_pk","officialDate","doubleHeader","dayNight","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","home_team_abb","league_home","division_home","away_team_abb","league_away","division_away","interplay","intradivision","winHome","home_games_10days","away_games_10days","home_sos_losses","home_sos_wins","home_sos_total","away_sos_losses","away_sos_wins","away_sos_total","home_exp_pct","wins_last5","home_wins_last10","home_losses_last10","home_wins_last10_athome","home_losses_last10_athome","home_runs_scored_last10","home_runs_against_last10","home_extra_innings_games","home_extra_innings_games_last","htoh_wins_home","htoh_wins_away","away_exp_pct","away_wins_last5","away_wins_last10","away_losses_last10","away_wins_last10_away","away_losses_last10_away","away_runs_scored_last10","away_runs_against_last10","away_extra_innings_games","away_extra_innings_games_last","away_pitcher_winpct","home_pitcher_winpct","away_pitcher_mean_ip","home_pitcher_mean_ip","away_pitcher_ERA","home_pitcher_ERA","away_pitcher_WHIP","home_pitcher_WHIP","last30_away_pitcher_winpct","last30_home_pitcher_winpct","last30_away_pitcher_mean_ip","last30_home_pitcher_mean_ip","last30_away_pitcher_ERA","last30_home_pitcher_ERA","last30_away_pitcher_WHIP","last30_home_pitcher_WHIP","home_dif_win_pct","away_dif_win_pct"
"21",21,21,718607,"2023-04-12","N","day",4,7,0.364,5,7,0.417,"COL","National League","National League West","STL","National League","National League Central",0,0,"0",9,9,0.303714285714286+0i,0.1666,0.246583333333333,0.303714285714286+0i,0.1666,0.246583333333333,0.386737400530504,2,3,7,3,3,43,65,0,0,1,1,0.442499078510874,2,4,6,2,3,40,45,0,0,0.333333333333333,NA,5.12222222222222,NA,5.24,NA,1.576,NA,0.4,NA,5,NA,7.2,NA,1.72,NA,-0.030262599469496,0.0784990785108736
"22",22,22,718598,"2023-04-12","N","day",8,3,0.727,7,5,0.583,"ARI","National League","National League West","MIL","National League","National League Central",0,0,"1",9,9,0.4734+0i,0.705714285714286,0.608916666666667,0.4734+0i,0.705714285714286,0.608916666666667,0.447513812154696,4,6,4,4,2,50,51,0,0,1,1,0.805807139051678,3,8,2,3,1,55,23,0,0,0,0.666666666666667,4.2,5.66666666666667,7.71,3.71,1.929,1.529,NA,0,NA,2.1,NA,9.64,NA,2.786,-0.135486187845304,0.0788071390516782
"23",23,23,718609,"2023-04-12","N","day",5,7,0.417,4,7,0.364,"PHI","National League","National League East","MIA","National League","National League East",0,1,"0",9,9,0.58+0i,0.5625,0.573636363636364,0.58+0i,0.5625,0.573636363636364,0.376923076923077,3,4,6,3,2,42,52,0,0,1,1,0.254718645263715,2,4,6,2,3,33,59,0,0,0.333333333333333,0.333333333333333,4.45555555555556,5.66666666666667,5.13,4.06,1.587,1.196,0.5,0.5,4.7,5.85,5.34,4.08,1.43,1.104,0.0129230769230769,-0.162281354736285
"24",24,24,718602,"2023-04-12","N","day",4,8,0.333,6,5,0.545,"LAA","American League","American League West","WSN","National League","National League East",1,0,"1",9,10,0.3254+0i,0.512,0.427181818181818,0.3254+0i,0.512,0.427181818181818,0.635056996530646,2,6,4,2,3,61,45,1,0,1,1,0.347740345110928,3,4,6,3,3,43,49,0,0,0.333333333333333,0.333333333333333,5.12222222222222,4.85,3.69,6.14,1.446,1.5,0.166666666666667,0.4,5.18333333333333,4.82,4.02,6.66,1.436,1.603,0.0900569965306459,0.0147403451109285
"25",25,25,718599,"2023-04-12","N","night",2,9,0.182,6,5,0.545,"BAL","American League","American League East","OAK","American League","American League West",0,0,"0",9,9,0.4592+0i,0.473166666666667,0.466818181818182,0.4592+0i,0.473166666666667,0.466818181818182,0.533296337402886,3,5,5,3,2,52,49,0,0,2,0,0.140609742866442,0,1,9,0,5,34,88,2,0,0.125,0.555555555555556,5.125,5.23333333333333,7.02,4.94,1.829,1.416,0.2,0.833333333333333,5.2,5.83333333333333,5.19,3.34,1.769,1.286,-0.0117036625971143,-0.0413902571335575
"26",26,26,718600,"2023-04-12","N","night",5,6,0.455,11,0,1,"TBR","American League","American League East","BOS","American League","American League East",0,1,"1",9,9,NA,0.246181818181818,0.246181818181818,NA,0.246181818181818,0.246181818181818,0.945122787762382,5,10,0,7,0,79,20,0,0,2,0,0.551586125111177,3,5,5,3,2,52,45,0,0,0.375,1,5.3875,5.03333333333333,5.4,3.52,1.269,0.913,0.4,1,6.22,5.05,3.16,2.61,0.957,0.774,-0.0548772122376183,0.096586125111177
"27",27,27,718603,"2023-04-12","N","night",2,8,0.2,7,4,0.636,"TOR","American League","American League East","DET","American League","American League Central",0,0,"1",9,8,0.26775+0i,0.304428571428571,0.291090909090909,0.26775+0i,0.304428571428571,0.291090909090909,0.516124837451235,4,6,4,1,0,53,52,1,0,1,0,0.151489648207372,0,2,8,2,5,30,71,1,0,0.444444444444444,0.222222222222222,6.24444444444444,6.11111111111111,2.06,3.27,0.865,1.091,0.666666666666667,0.2,6.7,6.02,1.11,2.97,0.689,1.022,-0.119875162548765,-0.0485103517926275
"28",28,28,718601,"2023-04-12","N","night",4,6,0.4,8,4,0.667,"ATL","National League","National League East","CIN","National League","National League Central",0,0,"1",10,8,0.37125+0i,0.376375,0.374666666666667,0.37125+0i,0.376375,0.374666666666667,0.583521248915872,2,6,4,3,3,44,46,1,0,2,0,0.447513812154696,1,4,6,1,4,45,50,1,0,0,0.444444444444444,4.77777777777778,5.68888888888889,4.6,2.96,1.581,1.007,0,0.5,5.2,5.86666666666667,4.85,2.78,1.615,0.925,-0.0834787510841284,0.0475138121546961
"29",29,29,718595,"2023-04-12","N","night",3,9,0.25,7,4,0.636,"TEX","American League","American League West","KCR","American League","American League Central",0,0,"0",9,10,0.43325+0i,0.249142857142857,0.316090909090909,0.43325+0i,0.249142857142857,0.316090909090909,0.70201450443191,3,6,4,5,2,55,36,1,0,2,0,0.262429057888763,2,3,7,2,3,34,53,1,1,0.333333333333333,0.555555555555556,4.78888888888889,6.67777777777778,4.36,2.83,1.869,0.995,0.166666666666667,0.666666666666667,4.35,7.36666666666667,5.81,1.61,2.354,0.806,0.0660145044319097,0.0124290578887628
"30",30,30,718612,"2023-04-12","N","night",6,6,0.5,5,6,0.455,"SFG","National League","National League West","LAD","National League","National League West",0,1,"0",9,9,0.298833333333333+0i,0.5756,0.424636363636364,0.298833333333333+0i,0.5756,0.424636363636364,0.519223659889094,2,5,5,2,3,53,46,0,0,1,1,0.655694807877703,1,5,5,2,4,60,46,0,0,0.666666666666667,0.333333333333333,5.91111111111111,5.66666666666667,2.52,1.94,1.025,1.353,0.666666666666667,0.5,5.86666666666667,6.03333333333333,2.02,1.47,0.981,1.309,0.0642236598890942,0.155694807877703
