"","game_pk","officialDate","doubleHeader","dayNight","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","home_team_abb","league_home","division_home","away_team_abb","league_away","division_away","interplay","intradivision","home_exp_pct","wins_last5","home_wins_last10","home_losses_last10","home_wins_last10_athome","home_losses_last10_athome","home_runs_scored_last10","home_runs_against_last10","home_extra_innings_games","home_extra_innings_games_last","htoh_wins_home","htoh_wins_away","away_exp_pct","away_wins_last5","away_wins_last10","away_losses_last10","away_wins_last10_away","away_losses_last10_away","away_runs_scored_last10","away_runs_against_last10","away_extra_innings_games","away_extra_innings_games_last","away_pitcher_winpct","home_pitcher_winpct","away_pitcher_mean_ip","home_pitcher_mean_ip","away_pitcher_ERA","home_pitcher_ERA","away_pitcher_WHIP","home_pitcher_WHIP","winHome","home_dif_win_pct","away_dif_win_pct","description","rescheduledFrom","rescheduledFromDate"
"34",718590,"2023-04-13","N","night",9,4,0.692,8,5,0.615,"NYY","American League","American League East","MIN","American League","American League Central",0,0,0.773596673596674,4,7,3,3,1,51,26,0,0,0,0,0.683266316115063,3,6,4,2,2,43,32,2,0,1,1,6,5,3.75,0.9,0.75,0.8,0,0.158596673596674,-0.00873368388493656,NA,NA,NA
"35",718593,"2023-04-13","N","night",3,9,0.25,8,5,0.615,"TOR","American League","American League East","DET","American League","American League Central",0,0,0.522888759464182,4,7,3,2,0,56,51,2,0,2,0,0.162198391420912,0,2,8,2,5,33,71,2,1,0,0.5,4,4.55,13.5,10.61,2.25,1.929,0,-0.0921112405358183,-0.0878016085790885,NA,NA,NA
"36",718591,"2023-04-13","N","night",8,5,0.615,5,8,0.385,"STL","National League","National League Central","PIT","National League","National League Central",0,1,0.473930784343358,3,4,6,1,3,43,48,0,0,0,0,0.41944847605225,2,6,4,3,1,44,50,0,0,0,1,3.55,6,9.82,2.25,2.182,1,0,0.088930784343358,-0.19555152394775,NA,NA,NA
"37",718589,"2023-04-13","N","night",9,4,0.692,7,7,0.5,"SDP","National League","National League West","MIL","National League","National League Central",0,0,0.518175809649703,3,6,4,2,1,45,39,0,0,0,0,0.744247787610619,2,7,3,2,2,55,29,0,0,NA,0,NA,5.6,NA,6.17,NA,1.457,0,0.0181758096497026,0.0522477876106195,NA,NA,NA
"38",718585,"2023-04-14","N","night",5,8,0.385,4,9,0.308,"DET","American League","American League Central","SFG","National League","National League West",1,0,0.183257918552036,1,3,7,0,3,34,60,2,0,0,0,0.474805928016937,2,4,6,2,2,51,51,0,0,0,0,8,3.5,4.5,10.29,1,1.429,1,-0.124742081447964,0.0898059280169372,NA,NA,NA
"39",718586,"2023-04-14","N","night",5,9,0.357,5,8,0.385,"CIN","National League","National League Central","PHI","National League","National League East",0,0,0.482148549569653,2,4,6,3,1,45,50,1,0,2,2,0.35143250344051,1,4,6,1,3,42,43,1,0,0,0,4.5,4,6,10.13,1.667,2.25,0,0.0971485495696525,-0.00556749655948952,NA,NA,NA
"40",718584,"2023-04-14","N","night",8,6,0.571,7,7,0.5,"MIA","National League","National League East","ARI","National League","National League West",0,0,0.272447325769854,3,5,5,2,2,34,55,1,0,0,0,0.483875162548765,4,7,3,2,1,56,44,0,0,0,0,4.1,4.5,7.27,6,2.192,1.333,1,-0.227552674230146,-0.0871248374512353,NA,NA,NA
"41",718592,"2023-04-14","N","night",8,6,0.571,4,10,0.286,"WSN","National League","National League East","CLE","American League","American League Central",1,0,0.345945945945946,2,3,7,0,3,41,51,0,0,0,0,0.466703662597114,2,5,5,3,1,47,55,4,0,0,0.5,4.6,5.05,6.52,4.35,1.862,1.161,0,0.059945945945946,-0.104296337402886,NA,NA,NA
"42",718588,"2023-04-14","N","night",10,4,0.714,8,6,0.571,"NYY","American League","American League East","MIN","American League","American League Central",0,0,0.672142252328535,3,6,4,2,2,47,37,0,0,0,1,0.744247787610619,3,6,4,2,2,47,30,2,0,NA,1,NA,5.05,NA,2.61,NA,1.258,0,0.101142252328535,0.0302477876106195,NA,NA,NA
"43",718587,"2023-04-14","N","night",13,1,0.929,9,5,0.643,"TOR","American League","American League East","TBR","American League","American League East",0,1,0.5074070009876,3,7,3,2,1,53,45,2,0,0,0,0.918926222862805,5,10,0,3,0,80,27,0,0,1,NA,6.5,NA,0,NA,0.231,NA,1,-0.1355929990124,-0.0100737771371949,NA,NA,NA
"44",718580,"2023-04-14","N","night",7,6,0.538,6,8,0.429,"BOS","American League","American League East","LAA","American League","American League West",0,0,0.486113789778206,1,3,7,0,3,44,50,0,0,0,0,0.637639601569574,3,6,4,3,1,51,46,1,0,0.5,1,5.5,5,1.64,4.5,1,1.1,1,0.0571137897782064,0.0996396015695744,NA,NA,NA
"45",718583,"2023-04-14","N","night",8,6,0.571,5,9,0.357,"CHW","American League","American League Central","BAL","American League","American League East",0,0,0.377794102214293,2,4,6,1,2,50,63,1,0,0,0,0.506802406293383,3,6,4,2,1,51,46,0,0,0,1,11,5.05,3.27,3.48,0.546,1.548,0,0.0207941022142932,-0.0641975937066173,NA,NA,NA
"46",718581,"2023-04-14","N","night",8,5,0.615,6,8,0.429,"HOU","American League","American League West","TEX","American League","American League West",0,1,0.607955338450803,3,4,6,1,3,52,43,2,0,0,0,0.615100027404768,3,5,5,1,2,40,43,1,0,NA,0,NA,4.5,NA,7,NA,2,0,0.178955338450803,0.000100027404768444,NA,NA,NA
"47",718579,"2023-04-14","N","night",10,4,0.714,4,10,0.286,"KCR","American League","American League Central","ATL","National League","National League East",1,0,0.365283018867925,2,4,6,1,3,40,47,1,0,0,0,0.585570964886397,3,7,3,3,0,48,46,1,0,0.5,0.5,5.05,5.5,4.35,4.91,1.936,1.182,0,0.0792830188679245,-0.128429035113603,NA,NA,NA
"48",718582,"2023-04-14","N","night",8,6,0.571,6,8,0.429,"STL","National League","National League Central","PIT","National League","National League Central",0,1,0.433628318584071,2,3,7,0,4,34,49,0,0,0,1,0.465558194774347,3,7,3,4,0,48,47,0,0,0.5,0,5.55,4.5,3.18,9,1.324,1.889,1,0.00462831858407081,-0.105441805225653,NA,NA,NA
"49",718578,"2023-04-14","N","night",8,6,0.571,3,11,0.214,"OAK","American League","American League West","NYM","National League","National League East",1,0,0.203171379471958,1,2,8,1,2,48,81,2,1,0,0,0.490292177191329,3,5,5,1,3,39,45,0,0,1,0,5.55,4.6,1.59,11.17,1.059,1.966,0,-0.0108286205280425,-0.080707822808671,NA,NA,NA
"50",718574,"2023-04-14","N","night",10,4,0.714,7,8,0.467,"SDP","National League","National League West","MIL","National League","National League Central",0,0,0.50854638422206,2,5,5,1,2,45,42,1,0,0,1,0.737387300978323,3,7,3,2,2,50,27,1,1,0.5,1,4.55,6,7.71,3,1.821,1,0,0.0415463842220599,0.0233873009783234,NA,NA,NA
"51",718575,"2023-04-14","N","night",7,5,0.583,7,7,0.5,"LAD","National League","National League West","CHC","National League","National League Central",0,0,0.673537664580186,2,5,5,2,1,60,50,0,0,0,0,0.588579563429295,3,5,5,1,1,57,51,1,0,0.5,0,6,5,0.75,6.3,1,1.2,0,0.173537664580186,0.00557956342929455,NA,NA,NA
"52",718577,"2023-04-14","N","night",5,9,0.357,6,8,0.429,"SEA","American League","American League West","COL","National League","National League West",1,0,0.483337961677312,2,4,6,1,3,52,50,3,1,0,0,0.374235176326621,2,3,7,0,3,43,64,0,0,0,NA,5.1,NA,6.75,NA,1.219,NA,1,0.0543379616773119,0.0172351763266214,NA,NA,NA
"53",718572,"2023-04-15","N","day",10,5,0.667,9,6,0.6,"NYY","American League","American League East","MIN","American League","American League Central",0,0,0.654054054054054,2,5,5,1,3,42,40,0,0,0,2,0.737387300978323,4,6,4,2,2,40,32,2,0,0.5,NA,5.5,NA,4.09,NA,1.364,NA,1,0.0540540540540541,0.0703873009783234,"Jackie Robinson Day",NA,NA
"54",718571,"2023-04-15","N","day",5,9,0.357,5,9,0.357,"DET","American League","American League Central","SFG","National League","National League West",1,0,0.219857312722949,2,4,6,1,3,40,60,3,1,1,0,0.461887582916327,2,4,6,2,2,56,52,1,1,0.5,NA,6.05,NA,0.73,NA,0.487,NA,1,-0.137142687277051,0.104887582916327,"Jackie Robinson Day",NA,NA
"55",718570,"2023-04-15","N","day",8,7,0.533,6,9,0.4,"CHW","American League","American League Central","BAL","American League","American League East",0,0,0.365536931294898,1,3,7,1,3,47,66,1,0,0,1,0.525624178712221,4,6,4,2,1,55,49,0,0,1,0,6.03333333333333,5.1,3.44,6.75,1.146,1.5,1,-0.0344630687051022,-0.00737582128777925,"Jackie Robinson Day",NA,NA
"56",718568,"2023-04-15","N","day",9,6,0.6,6,9,0.4,"STL","National League","National League Central","PIT","National League","National League Central",0,1,0.45941665566847,3,4,6,1,3,33,41,0,0,1,1,0.441379310344828,2,6,4,3,1,41,44,0,0,0.5,0,4.5,5.5,8,8.18,1.889,2,0,0.0594166556684704,-0.158620689655172,"Jackie Robinson Day",NA,NA
"57",718569,"2023-04-15","N","day",13,2,0.867,10,5,0.667,"TOR","American League","American League East","TBR","American League","American League East",0,1,0.527756360832691,4,8,2,3,1,54,39,2,0,1,0,0.892998678996037,4,9,1,2,1,77,31,0,0,0,0.5,Inf,4.55,4.5,6.75,1.333,1.5,1,-0.139243639167309,0.025998678996037,"Jackie Robinson Day",NA,NA
"58",718573,"2023-04-15","N","day",9,6,0.6,4,11,0.267,"WSN","National League","National League East","CLE","American League","American League Central",1,0,0.346753766164511,1,3,7,0,3,42,49,0,0,0,1,0.476391126533647,3,5,5,3,1,45,53,3,0,0,0,4,5,9,8.1,1.75,1.5,0,0.0797537661645114,-0.123608873466353,"Jackie Robinson Day",NA,NA
"59",718560,"2023-04-15","N","day",10,5,0.667,8,8,0.5,"SDP","National League","National League West","MIL","National League","National League Central",0,0,0.43869370431502,1,4,6,0,3,42,49,1,0,0,2,0.777956204379562,3,7,3,3,2,51,29,1,0,1,1,6,6.5,0.75,1.38,1,1,1,-0.06130629568498,0.110956204379562,"Jackie Robinson Day",NA,NA
"60",718565,"2023-04-15","N","day",9,6,0.6,3,12,0.2,"OAK","American League","American League West","NYM","National League","National League East",1,0,0.18919233680778,1,2,8,1,2,43,86,1,0,0,1,0.57886830245368,3,5,5,1,3,51,50,0,0,0,0,4.1,3.1,11.42,17.55,1.962,2.25,0,-0.0108076631922203,-0.0211316975463195,"Jackie Robinson Day",NA,NA
"61",718576,"2023-04-15","N","day",7,7,0.5,7,8,0.467,"BOS","American League","American League East","LAA","American League","American League West",0,0,0.5,1,4,6,1,2,43,46,0,0,1,0,0.613262599469496,2,5,5,2,2,48,51,1,0,0.5,0,5.1,5,4.22,0.9,1.406,1.1,1,0.033,0.113262599469496,"Jackie Robinson Day",NA,NA
"62",718566,"2023-04-15","N","day",5,10,0.333,6,8,0.429,"CIN","National League","National League Central","PHI","National League","National League East",0,0,0.443273158518909,1,3,7,2,2,45,57,1,0,2,3,0.398138240958699,2,5,5,2,2,49,38,1,0,0.5,0.5,5,6.5,0,2.08,0.7,1.077,1,0.014273158518909,0.0651382409586989,"Jackie Robinson Day",NA,NA
"63",718563,"2023-04-15","N","day",11,4,0.733,4,11,0.267,"KCR","American League","American League Central","ATL","National League","National League East",1,0,0.323284062637202,1,3,7,0,4,34,52,1,0,0,1,0.629533372711164,4,7,3,3,0,50,45,1,0,0.5,0,6.05,5.5,0,1.64,0.973,0.909,0,0.0562840626372018,-0.103466627288836,"Jackie Robinson Day",NA,NA
"64",718567,"2023-04-15","N","day",8,7,0.533,8,7,0.533,"MIA","National League","National League East","ARI","National League","National League West",0,0,0.313946587537092,4,6,4,3,1,38,51,1,0,1,0,0.453944260746339,3,6,4,1,2,55,48,0,0,0.5,0,5.5,7.2,4.91,4.7,1.364,2.087,1,-0.219053412462908,-0.0790557392536609,"Jackie Robinson Day",NA,NA
"65",718562,"2023-04-15","N","night",8,6,0.571,7,8,0.467,"HOU","American League","American League West","TEX","American League","American League West",0,1,0.570512029611351,3,4,6,1,3,51,43,2,1,0,1,0.637898012927939,4,5,5,2,2,44,44,1,0,0.5,0.5,6,5.6,3,3.09,1.25,1.114,1,0.103512029611351,0.0668980129279387,"Jackie Robinson Day",NA,NA
"66",718564,"2023-04-15","N","night",7,6,0.538,8,7,0.533,"LAD","National League","National League West","CHC","National League","National League Central",0,0,0.623076923076923,2,5,5,2,1,61,56,0,0,0,1,0.62892998678996,3,6,4,2,1,64,50,1,0,0,0,4.5,3.55,7,14.73,1.667,2.318,1,0.0900769230769231,0.0909299867899603,"Jackie Robinson Day",NA,NA
"67",718561,"2023-04-15","N","night",5,10,0.333,7,8,0.467,"SEA","American League","American League West","COL","National League","National League West",1,0,0.5,2,5,5,2,2,52,47,2,0,1,0,0.367651417844087,2,3,7,0,3,45,66,0,0,0,0,4.6,5.05,7.45,4.35,1.862,1.452,1,0.033,0.0346514178440865,"Jackie Robinson Day",NA,NA
"68",718559,"2023-04-16","N","day",7,8,0.467,8,8,0.5,"BOS","American League","American League East","LAA","American League","American League West",0,0,0.511903074961032,2,5,5,2,1,51,49,0,0,2,0,0.586303939962477,2,4,6,1,3,48,57,1,0,0,0,4.6,5,5.59,9,1.448,1.6,1,0.0119030749610316,0.119303939962477,NA,NA,NA
"69",718555,"2023-04-16","N","day",9,7,0.563,5,11,0.313,"WSN","National League","National League East","CLE","American League","American League Central",1,0,0.343710941938416,1,3,7,0,3,40,45,0,0,0,2,0.492701118806606,3,5,5,3,1,39,46,2,0,0.333333333333333,0.333333333333333,6.33333333333333,4.66666666666667,2.37,7.71,0.947,2.143,1,0.0307109419384161,-0.0702988811933937,NA,NA,NA
"70",718557,"2023-04-16","N","day",10,6,0.625,10,6,0.625,"NYY","American League","American League East","MIN","American League","American League Central",0,0,0.68345418589321,3,6,4,2,2,47,37,0,0,1,2,0.682193193537298,4,6,4,2,2,41,37,2,0,NA,1,NA,6.36666666666667,NA,1.4,NA,0.931,1,0.0584541858932103,0.057193193537298,NA,NA,NA
"71",718556,"2023-04-16","N","day",14,2,0.875,10,6,0.625,"TOR","American League","American League East","TBR","American League","American League East",0,1,0.546258205689278,4,8,2,4,1,55,40,2,0,2,0,0.869861422931021,3,8,2,1,2,69,30,0,0,1,0.333333333333333,5.66666666666667,4.73333333333333,1.59,4.91,1.177,1.705,0,-0.0787417943107221,-0.00513857706897891,NA,NA,NA
